id,name,origin_country,group,size,temperament,life_expectancy,weight_kg_min,weight_kg_max,height_cm_min,height_cm_max,description,popularity_rank
golden-retriever,Golden Retriever,United Kingdom,Sporting,Large,Friendly|Reliable|Trustworthy,10-12 years,25,34,51,61,"The Golden Retriever is a sturdy, medium-large gundog known for its dense, lustrous coat of gold that gives the breed its name.",3
german-shepherd,German Shepherd,Germany,Herding,Large,Confident|Courageous|Smart,7-10 years,22,40,55,65,"The German Shepherd is a large, agile, muscular dog of noble character and high intelligence, capable of learning commands for many tasks.",2
labrador-retriever,Labrador Retriever,Canada,Sporting,Large,Friendly|Active|Outgoing,10-12 years,25,36,55,62,"The Labrador Retriever is a strongly built, medium-sized, short-coupled dog that is athletic and well-balanced. It is the most popular breed in many countries.",1
poodle,Poodle,France,Non-Sporting,Medium,Intelligent|Active|Alert,10-18 years,18,32,45,60,The Poodle is an exceptionally smart and active dog available in three size varieties. It is known for its curly hypoallergenic coat and elegant appearance.,5
bulldog,Bulldog,United Kingdom,Non-Sporting,Medium,Friendly|Courageous|Calm,8-10 years,18,25,31,40,"The Bulldog is a medium-sized breed with a thick-set, low-slung body and massive short-faced head. Known for its loose-jointed, shuffling gait and gentle disposition.",6
beagle,Beagle,United Kingdom,Hound,Small,Merry|Friendly|Curious,10-15 years,9,11,33,41,"The Beagle is a small scent hound originally bred for hunting hare. It is a popular pet due to its size, good temper, and lack of inherited health problems.",7
rottweiler,Rottweiler,Germany,Working,Large,Loyal|Confident|Courageous,9-10 years,36,60,56,69,The Rottweiler is a robust working breed of great strength descended from the mastiffs of the Roman legions. A gentle playmate and protector within the family.,8
dachshund,Dachshund,Germany,Hound,Small,Clever|Stubborn|Devoted,12-16 years,7,15,20,23,"The Dachshund is a short-legged, long-bodied hound-type dog breed originally bred to scent, chase, and flush out badgers and other burrow-dwelling animals.",10
shiba-inu,Shiba Inu,Japan,Non-Sporting,Small,Alert|Active|Attentive,13-16 years,8,11,34,41,"The Shiba Inu is the smallest of the six original Japanese spitz breeds. An ancient breed with a bold, spirited personality and fox-like appearance.",44
akita,Akita,Japan,Working,Large,Courageous|Dignified|Loyal,10-13 years,32,59,61,71,"The Akita is a large, powerful, and alert breed with a noble and intimidating presence. Originally used for guarding royalty and nobility in feudal Japan.",47
chow-chow,Chow Chow,China,Non-Sporting,Medium,Dignified|Bright|Serious,8-12 years,20,32,43,51,"The Chow Chow is a powerful, compactly built dog with a lion-like mane and distinctive blue-black tongue. One of the world's oldest dog breeds.",75
shar-pei,Shar Pei,China,Non-Sporting,Medium,Loyal|Independent|Calm,8-12 years,18,25,46,51,The Shar Pei is an ancient Chinese breed known for its deep wrinkles and blue-black tongue. Originally bred as a guard dog and fighter.,64
pekingese,Pekingese,China,Toy,Small,Affectionate|Loyal|Regal,12-14 years,3,6,15,23,The Pekingese is a compact toy companion of regal bearing and a distinctive rolling gait. Bred for centuries to be the cherished companions of Chinese emperors.,92
shih-tzu,Shih Tzu,China,Toy,Small,Affectionate|Playful|Outgoing,10-18 years,4,7,20,28,"The Shih Tzu is a lively, charming toy dog with a long flowing double coat. Bred solely to be a companion, this breed has been a lap dog since ancient times.",20
lhasa-apso,Lhasa Apso,Tibet,Non-Sporting,Small,Confident|Smart|Comical,12-15 years,5,8,25,28,"The Lhasa Apso is a thousand-year-old breed that served as sentinel dogs at palaces and monasteries in the Himalayas. Hardy, confident, and surprisingly tough.",71
tibetan-mastiff,Tibetan Mastiff,Tibet,Working,Giant,Independent|Reserved|Protective,10-12 years,34,73,61,76,"The Tibetan Mastiff is a massive, imposing guardian breed with a thick double coat and a lion-like mane. An ancient breed used to protect flocks and homes in Tibet.",131
basenji,Basenji,Democratic Republic of the Congo,Hound,Small,Independent|Smart|Poised,13-14 years,9,11,40,43,"The Basenji is a small, graceful hound from Africa known as the barkless dog. It produces an unusual yodel-like sound due to its unusually shaped larynx.",87
rhodesian-ridgeback,Rhodesian Ridgeback,Zimbabwe,Hound,Large,Dignified|Affectionate|Even-Tempered,10-12 years,32,41,61,69,"The Rhodesian Ridgeback is a large, muscular hound known for the distinctive ridge of hair running along its back. Originally bred to hunt lions in Africa.",41
saluki,Saluki,Iran,Hound,Large,Gentle|Dignified|Independent,10-17 years,18,27,58,71,"The Saluki is one of the oldest known breeds, prized for its grace, speed, and endurance. Used for thousands of years by Arab nomads to hunt gazelles.",120
afghan-hound,Afghan Hound,Afghanistan,Hound,Large,Dignified|Aloof|Happy,12-18 years,23,27,63,69,"The Afghan Hound is an elegant, aristocratic sighthound with a long, silky coat. An ancient breed from the mountains of Afghanistan, known for its independent nature.",113
borzoi,Borzoi,Russia,Hound,Large,Affectionate|Loyal|Regally Dignified,9-14 years,27,48,66,79,"The Borzoi is a graceful, tall Russian sighthound originally bred by the aristocracy for wolf hunting. Known for its elegant, silky coat and calm demeanor.",103
samoyed,Samoyed,Russia,Working,Medium,Adaptable|Friendly|Gentle,12-14 years,16,30,48,60,The Samoyed is a fluffy white spitz breed with a perpetual smile. Bred by the Samoyede people of Siberia for herding reindeer and pulling sleds.,59
siberian-husky,Siberian Husky,Russia,Working,Medium,Loyal|Mischievous|Outgoing,12-14 years,16,27,51,60,The Siberian Husky is a medium-sized working sled dog bred by the Chukchi people of northeastern Asia. Known for striking blue or multi-colored eyes.,14
alaskan-malamute,Alaskan Malamute,United States,Working,Large,Affectionate|Loyal|Playful,10-14 years,34,39,58,64,The Alaskan Malamute is a powerful freight-hauling sled dog bred by the Mahlemut Inuit people. One of the oldest Arctic sled dogs.,58
australian-shepherd,Australian Shepherd,United States,Herding,Medium,Smart|Work-Oriented|Exuberant,12-15 years,18,29,46,58,"The Australian Shepherd is a lean, tough ranch dog despite its name developed in the western United States. Known for its striking merle coat and bright eyes.",12
border-collie,Border Collie,United Kingdom,Herding,Medium,Affectionate|Smart|Energetic,12-15 years,14,20,46,56,The Border Collie is widely regarded as the most intelligent dog breed. A workaholic herding dog from the Anglo-Scottish border region.,31
cavalier-king-charles-spaniel,Cavalier King Charles Spaniel,United Kingdom,Toy,Small,Affectionate|Gentle|Graceful,12-15 years,5,8,30,33,"The Cavalier King Charles Spaniel is a gentle, affectionate toy spaniel with a silky coat. Named after King Charles II who was devoted to the breed.",15
cocker-spaniel,Cocker Spaniel,United Kingdom,Sporting,Medium,Gentle|Smart|Happy,10-14 years,12,16,36,43,"The Cocker Spaniel is a merry, well-balanced sporting dog with long, lush ears and a wagging tail. Originally bred as a hunting dog for woodcock.",29
dalmatian,Dalmatian,Croatia,Non-Sporting,Large,Dignified|Smart|Outgoing,11-13 years,20,32,48,61,"The Dalmatian is a graceful, medium-large breed known for its unique spotted coat. Historically used as a carriage dog and firehouse mascot.",56
